"id","artisanKey","primaryCraftId","studioName","personalName","craftSpecialization","location","state","yearsOfPractice","bio","profilePhotoUrl","coverPhotoUrl","publicContact","languages","experienceInfo","createdAt","updatedAt","lat","lng"
52,"amita-sachdeva-2017","","Stone Dust Painting by Amita Sachdeva","Amita Sachdeva","Stone Dust Painting","Delhi","Delhi",0,"Recipient of the Shilp Guru award (2017), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Stone Dust Painting.","/placeholder-artisan.jpg","/placeholder-cover.jpg","","","Recipient of the Shilp Guru award, 2017. Years of practice not publicly documented.","2026-08-26 18:59:00","2026-09-06 17:49:05","28.704100","77.102500"
53,"mohan-lal-soni-2017","","Miniature Painting by Mohan Lal Soni","Mohan Lal Soni","Miniature Painting","Rajasthan","Rajasthan",0,"Recipient of the Shilp Guru award (2017), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Miniature Painting.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/d/dc/Rajasthani_Miniature_painting.jpg","","","Recipient of the Shilp Guru award, 2017. Years of practice not publicly documented.","2026-08-26 18:59:03","2026-09-06 17:49:06","27.023800","74.217900"
54,"bijay-kumar-parida-2018","","Palm Leaf Engraving by Bijay Kumar Parida","Bijay Kumar Parida","Palm Leaf Engraving","Odisha","Odisha",0,"Recipient of the Shilp Guru award (2018), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Palm Leaf Engraving.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/1/1e/Radha_and_Krishna_tala_pattachitra_from_Odisha%2C_ink_on_palm_leaf%2C_artist_unknown.JPG","","","Recipient of the Shilp Guru award, 2018. Years of practice not publicly documented.","2026-08-26 18:59:04","2026-09-06 17:49:06","20.951700","85.098500"
55,"maheswar-parida-2018","","Stone Carving by Maheswar Parida","Maheswar Parida","Stone Carving","Odisha","Odisha",0,"Recipient of the Shilp Guru award (2018), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Stone Carving.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/5/5d/Brihadeeswarar_Temple_02.jpg","","","Recipient of the Shilp Guru award, 2018. Years of practice not publicly documented.","2026-08-26 18:59:04","2026-09-06 17:49:07","20.951700","85.098500"
56,"kondra-gangadhar-2018","","Stone Carving by Kondra Gangadhar","Kondra Gangadhar","Stone Carving","Andhra Pradesh","Andhra Pradesh",0,"Recipient of the Shilp Guru award (2018), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Stone Carving.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/5/5d/Brihadeeswarar_Temple_02.jpg","","","Recipient of the Shilp Guru award, 2018. Years of practice not publicly documented.","2026-08-26 18:59:05","2026-09-06 17:49:07","15.912900","79.740000"
57,"ashish-malakar-2018","","Sholapith Craft by Ashish Malakar","Ashish Malakar","Sholapith","West Bengal","West Bengal",0,"Recipient of the Shilp Guru award (2018), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Sholapith (pith) craft.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/8/89/Topor_Pair.jpg","","","Recipient of the Shilp Guru award, 2018. Years of practice not publicly documented.","2026-08-26 18:59:05","2026-09-06 17:49:08","22.986800","87.855000"
58,"chanchal-chakravarty-2018","","Metal Craft by Chanchal Chakravarty","Chanchal Chakravarty","Metal Craft","Delhi","Delhi",0,"Recipient of the Shilp Guru award (2018), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Metal craft.","/placeholder-artisan.jpg","/placeholder-cover.jpg","","","Recipient of the Shilp Guru award, 2018. Years of practice not publicly documented.","2026-08-26 18:59:06","2026-09-06 17:49:08","28.704100","77.102500"
59,"gopal-prasad-sharma-2018","","Miniature Painting by Gopal Prasad Sharma","Gopal Prasad Sharma","Miniature Painting","Rajasthan","Rajasthan",0,"Recipient of the Shilp Guru award (2018), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Miniature Painting.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/d/dc/Rajasthani_Miniature_painting.jpg","","","Recipient of the Shilp Guru award, 2018. Years of practice not publicly documented.","2026-08-26 18:59:07","2026-09-06 17:49:09","27.023800","74.217900"
60,"abdul-hasib-2018","","Bone Carving by Abdul Hasib","Abdul Hasib","Bone Carving","Delhi","Delhi",0,"Recipient of the Shilp Guru award (2018), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Bone Carving.","/placeholder-artisan.jpg","/placeholder-cover.jpg","","","Recipient of the Shilp Guru award, 2018. Years of practice not publicly documented.","2026-08-26 18:59:07","2026-09-06 17:49:09","28.704100","77.102500"
61,"bashir-ahmed-bhat-2018","","Sozni Embroidery by Bashir Ahmed Bhat","Bashir Ahmed Bhat","Sozni Hand Embroidery","Jammu & Kashmir","Jammu & Kashmir",0,"Recipient of the Shilp Guru award (2018), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Sozni Hand Embroidery.","/placeholder-artisan.jpg","/placeholder-cover.jpg","","","Recipient of the Shilp Guru award, 2018. Years of practice not publicly documented.","2026-08-26 18:59:07","2026-09-06 17:49:10","33.778200","76.576200"
62,"gurumayum-shanti-devi-2018","","Artistic Textiles by Gurumayum Shanti Devi","Gurumayum Shanti Devi","Artistic Textiles","Manipur","Manipur",0,"Recipient of the Shilp Guru award (2018), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Artistic Textiles.","/placeholder-artisan.jpg","/placeholder-cover.jpg","","","Recipient of the Shilp Guru award, 2018. Years of practice not publicly documented.","2026-08-26 18:59:08","2026-09-06 17:49:10","24.663700","93.906300"
63,"mahamaya-sikdar-2018","","Kantha Embroidery by Mahamaya Sikdar","Mahamaya Sikdar","Kantha Hand Embroidery","West Bengal","West Bengal",0,"Recipient of the Shilp Guru award (2018), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Kantha Hand Embroidery.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/2/2c/Kantha_%28Quilt%29_LACMA_AC1994.131.1.jpg","","","Recipient of the Shilp Guru award, 2018. Years of practice not publicly documented.","2026-08-26 18:59:08","2026-09-06 17:49:11","22.986800","87.855000"
64,"velayudham-sreenvasulu-reddy-2019","","Kalamkari Painting by Velayudham Sreenvasulu Reddy","Velayudham Sreenvasulu Reddy","Kalamkari Hand Painting","Andhra Pradesh","Andhra Pradesh",0,"Recipient of the Shilp Guru award (2019), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Kalamkari Hand Painting.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/5/54/Kalamkari_Painting.JPG","","","Recipient of the Shilp Guru award, 2019. Years of practice not publicly documented.","2026-08-26 18:59:09","2026-09-06 17:49:12","15.912900","79.740000"
65,"suman-sonthalia-2019","","Warli Art by Suman Sonthalia","Suman Sonthalia","Warli Art","Delhi","Delhi",0,"Recipient of the Shilp Guru award (2019), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Warli Art.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/3/34/Warli-art-2.jpg","","","Recipient of the Shilp Guru award, 2019. Years of practice not publicly documented.","2026-08-26 18:59:09","2026-09-06 17:49:12","28.704100","77.102500"
66,"chitara-chandrakant-bhulabhai-2019","","Mata Ni Pachedi by Chitara Chandrakant Bhulabhai","Chitara Chandrakant Bhulabhai","Mata Ni Pachedi Kalamkari","Gujarat","Gujarat",0,"Recipient of the Shilp Guru award (2019), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Mata Ni Pachedi Kalamkari.","/placeholder-artisan.jpg","/placeholder-cover.jpg","","","Recipient of the Shilp Guru award, 2019. Years of practice not publicly documented.","2026-08-26 18:59:10","2026-09-06 17:49:13","22.258700","71.192400"
67,"iqbal-hussain-khan-2019","","Papier-Mache by Iqbal Hussain Khan","Iqbal Hussain Khan","Papier-mache","Jammu & Kashmir","Jammu & Kashmir",0,"Recipient of the Shilp Guru award (2019), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Papier-mache craft.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d8/Pen_Box_%28qalamdan%29_LACMA_M.89.160a-b.jpg","","","Recipient of the Shilp Guru award, 2019. Years of practice not publicly documented.","2026-08-26 18:59:10","2026-09-06 17:49:13","33.778200","76.576200"
68,"m-ramamurthy-2019","","Wood Carving by M. Ramamurthy","M. Ramamurthy","Wood Carving","Karnataka","Karnataka",0,"Recipient of the Shilp Guru award (2019), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Wood Carving.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/2/2e/Thazhathangadi_juma_masjid_Kottayam_Kerala_south_india.jpg","","","Recipient of the Shilp Guru award, 2019. Years of practice not publicly documented.","2026-08-26 18:59:11","2026-09-06 17:49:14","15.317300","75.713900"
69,"mohan-lal-sharma-2019","","Tarkashi Wood Inlay by Mohan Lal Sharma","Mohan Lal Sharma","Brass Wire Inlay on Sheeshem Wood Tarkashi","Rajasthan","Rajasthan",0,"Recipient of the Shilp Guru award (2019), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Brass Wire Inlay on Sheesham Wood (Tarkashi).","/placeholder-artisan.jpg","/placeholder-cover.jpg","","","Recipient of the Shilp Guru award, 2019. Years of practice not publicly documented.","2026-08-26 18:59:11","2026-09-06 17:49:14","27.023800","74.217900"
70,"asharam-meghawal-2019","","Miniature Painting by Asharam Meghawal","Asharam Meghawal","Miniature Painting","Rajasthan","Rajasthan",0,"Recipient of the Shilp Guru award (2019), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Miniature Painting.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/d/dc/Rajasthani_Miniature_painting.jpg","","","Recipient of the Shilp Guru award, 2019. Years of practice not publicly documented.","2026-08-26 18:59:13","2026-09-06 17:49:15","27.023800","74.217900"
71,"v-panneer-selvam-2019","","Tanjore Painting by V. Panneer Selvam","V. Panneer Selvam","Tanjore Painting","Thanjavur","Tamil Nadu",0,"Recipient of the Shilp Guru award (2019), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Tanjore Painting.","/placeholder-artisan.jpg","https://upload.wikimedia.org/wikipedia/commons/c/ca/Gajalakshmi_in_Tanjore_Painting.png","","","Recipient of the Shilp Guru award, 2019. Years of practice not publicly documented.","2026-08-26 18:59:15","2026-09-06 17:49:15","11.127100","78.656900"
72,"chiranji-lal-yadav-2019","","Brass Engraving by Chiranji Lal Yadav","Chiranji Lal Yadav","Brass Engraving","Moradabad","Uttar Pradesh",0,"Recipient of the Shilp Guru award (2019), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Brass Engraving.","/placeholder-artisan.jpg","/placeholder-cover.jpg","","","Recipient of the Shilp Guru award, 2019. Years of practice not publicly documented.","2026-08-26 18:59:16","2026-09-06 17:49:16","26.846700","80.946200"
73,"naseem-bano-2019","","Chikankari by Naseem Bano","Naseem Bano","Chikan Hand Embroidery","Lucknow","Uttar Pradesh",0,"Recipient of the Shilp Guru award (2019), India's highest handicraft honour, conferred by the Government of India for outstanding mastery of Lucknow Chikan Hand Embroidery.","/placeholder-artisan.jpg","/placeholder-cover.jpg","","","Recipient of the Shilp Guru award, 2019. Years of practice not publicly documented.","2026-08-26 18:59:17","2026-09-06 17:49:16","26.846700","80.946200"
74,"demo-artisan-1","","Saanvi Kulkarni's Studio","Saanvi Kulkarni","Craft practice","India","",0,"A living craft practice, shared directly with travellers.","/manus-storage/mysore-silk-loom_4b1db1d7.jpg","/manus-storage/mysuru-heritage-pavilion_6c4424ad.jpg","","","Experience details will appear here when published.","2026-08-26 20:08:02","2026-08-26 20:08:02","",""
